AMZ.com,P.com
0.5,0
0.6,0
0.846153846,0
0.9,0
0.916666667,0
0.92,0
0.925925926,0
0,0
0,0
0,0
0,0.333333333
0.333333333,0.333333333
0.5,0.333333333
0.5,0.333333333
0.5,0.333333333
0.5,0.333333333
0.5,0.333333333
0.5,0.333333333
0.6,0.333333333
0.666666667,0.333333333
0.666666667,0.333333333
0.714285714,0.5
0.714285714,0.5
0.75,0.5
0.75,0.5
0.75,0.5
0.8,0.5
0.8,0.5
0.8,0.5
0.8,0.6
0.8,0.6
0.833333333,0.6
0.857142857,0.666666667
0.857142857,0.666666667
0.875,0.666666667
0.875,0.666667
0.882352941,0.714285714
0.888888889,0.714285714
0.894736842,0.75
0.92,0.75
0.944444444,0.75
0.948717949,0.75
0.988439306,0.8
,0.8
,0.8
,0.833333333
,0.833333333
,0.833333333
,0.833333333
,0.857142857
,0.916666667
,1
,1
,1
,1
,0
,0
